id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
73,Brother from the Same Planet,2/4/93,9F12,4,14,73,23.8,59040,8.1
86,Treehouse of Horror IV,10/28/93,1F04,5,5,86,24,110251,8.7
71,Marge vs. the Monorail,1/14/93,9F10,4,12,71,23,88171,9
74,I Love Lisa,2/11/93,9F13,4,15,74,25.2,62309,8.3
90,The Last Temptation of Homer,12/9/93,1F07,5,9,90,20.6,59350,8.4
54,Dog of Death,3/12/92,8F17,3,19,54,23.4,49665,7.7
42,Treehouse of Horror II,10/31/91,8F02,3,7,42,20,103012,8.2
43,Lisa's Pony,11/7/91,8F06,3,8,43,23,53093,7.9
66,Marge Gets a Job,11/5/92,9F05,4,7,66,22.9,69527,7.8
47,I Married Marge,12/26/91,8F10,3,12,47,21.9,47880,8.2
76,Last Exit to Springfield,3/11/93,9F15,4,17,76,22.4,71907,9
49,Lisa the Greek,1/23/92,8F12,3,14,49,23.2,49457,8
57,The Otto Show,4/23/92,8F21,3,22,57,17.5,50068,7.7
85,Rosebud,10/21/93,1F01,5,4,85,19.5,57149,8.9
50,Homer Alone,2/6/92,8F14,3,15,50,23.7,58991,8
52,Homer at the Bat,2/20/92,8F13,3,17,52,24.6,72378,8.6
79,Whacking Day,4/29/93,9F18,4,20,79,20,60739,8.1
63,Lisa the Beauty Queen,10/15/92,9F02,4,4,63,19,52203,7.8
81,Krusty Gets Kancelled,5/13/93,9F19,4,22,81,19.4,59948,8.2
56,Black Widower,4/9/92,8F20,3,21,56,17.3,57582,8.2
61,A Streetcar Named Marge,10/1/92,8F18,4,2,61,18.3,54487,8.1
64,Treehouse of Horror III,10/29/92,9F04,4,5,64,25.1,108171,8.4
68,Mr. Plow,11/19/92,9F07,4,9,68,24,63564,8.8
94,Homer and Apu,2/10/94,1F10,5,13,94,21.8,58716,8.3
97,Homer Loves Flanders,3/17/94,1F14,5,16,97,18,69996,8.5
